index,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,10_0,10_1,10_2,10_3,10_4,10_5,10_6,10_7,11_0,11_1,11_2,11_3,11_4,11_5,11_6,11_7,12_0,12_1,12_2,12_3,12_4,12_5,12_6,12_7,13_0,13_1,13_2,13_3,13_4,13_5,13_6,13_7,14_0,14_1,14_2,14_3,14_4,14_5,14_6,14_7,15_0,15_1,15_2,15_3,15_4,15_5,15_6,15_7,16_0,16_1,16_2,16_3,16_4,16_5,16_6,16_7,17_0,17_1,17_2,17_3,17_4,17_5,17_6,17_7,18_0,18_1,18_2,18_3,18_4,18_5,18_6,18_7,19_0,19_1,19_2,19_3,19_4,19_5,19_6,19_7,20_0,20_1,20_2,20_3,20_4,20_5,20_6,20_7,21_0,21_1,21_2,21_3,21_4,21_5,21_6,21_7,22_0,22_1,22_2,22_3,22_4,22_5,22_6,22_7,23_0,23_1,23_2,23_3,23_4,23_5,23_6,23_7
Transport|Total,1.3956119,1.6163653,3.5491002,3.4471028,3.8401496,4.521102,3.5306103,2.2450686,1.3956119,1.6163653,3.5491002,3.4471028,3.8401496,4.521102,3.5306103,2.2450686,1.395782,1.6238452,3.620578,3.5152028,3.9212644,4.6247654,3.601476,2.2733665,1.395782,1.6238452,3.620578,3.5152028,3.9212644,4.6247654,3.601476,2.2733665,1.3967172,1.6649545,4.0134196,3.8894818,4.367073,5.1944985,3.9909523,2.4288914,1.3967172,1.6649545,4.0134196,3.8894818,4.367073,5.1944985,3.9909523,2.4288914,1.3964789,1.6544827,3.9133503,3.794142,4.253512,5.04937,3.8917406,2.3892744,1.3964789,1.6544827,3.9133503,3.794142,4.253512,5.04937,3.8917406,2.3892744,1.3967143,1.6648349,4.012276,3.8883922,4.365775,5.19284,3.9898183,2.428439,1.3967143,1.6648349,4.012276,3.8883922,4.365775,5.19284,3.9898183,2.428439,1.3967334,1.6656725,4.0202813,3.8960197,4.3748603,5.20445,3.9977548,2.431608,1.3967334,1.6656725,4.0202813,3.8960197,4.3748603,5.20445,3.9977548,2.431608,1.3969607,1.6756657,4.115775,3.9870017,4.483229,5.342944,4.092432,2.469414,1.3969607,1.6756657,4.115775,3.9870017,4.483229,5.342944,4.092432,2.469414,1.3964598,1.6536449,3.9053447,3.7865145,4.244427,5.03776,3.883804,2.386105,1.3964598,1.6536449,3.9053447,3.7865145,4.244427,5.03776,3.883804,2.386105,1.3966994,1.6641766,4.0059857,3.8823998,4.358637,5.1837177,3.9835823,2.4259484,1.3966994,1.6641766,4.0059857,3.8823998,4.358637,5.1837177,3.9835823,2.4259484,1.3968614,1.6712974,4.074033,3.947231,4.4358582,5.2824044,4.0510464,2.4528883,1.3968614,1.6712974,4.074033,3.947231,4.4358582,5.2824044,4.0510464,2.4528883,1.3965157,1.6560984,3.9287899,3.808851,4.271033,5.071761,3.9070475,2.3953867,1.3965157,1.6560984,3.9287899,3.808851,4.271033,5.071761,3.9070475,2.3953867,1.3964516,1.6532859,3.901914,3.7832453,4.2405334,5.0327835,3.8804023,2.3847468,1.3964516,1.6532859,3.901914,3.7832453,4.2405334,5.0327835,3.8804023,2.3847468
Transport|Hydrogen,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741,0.001115741
Transport|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport|Liquid petroleum products,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765,0.6467765
Transport|Electricity,0.74771965,0.96847314,2.9012074,2.79921,3.192257,3.8732104,2.882718,1.5971762,0.74771965,0.96847314,2.9012074,2.79921,3.192257,3.8732104,2.882718,1.5971762,0.74788976,0.97595304,2.9726853,2.8673105,3.2733722,3.9768739,2.9535832,1.6254741,0.74788976,0.97595304,2.9726853,2.8673105,3.2733722,3.9768739,2.9535832,1.6254741,0.7488249,1.0170624,3.3655267,3.2415895,3.7191806,4.546606,3.3430595,1.780999,0.7488249,1.0170624,3.3655267,3.2415895,3.7191806,4.546606,3.3430595,1.780999,0.74858665,1.0065906,3.265458,3.1462493,3.60562,4.401478,3.2438478,1.7413821,0.74858665,1.0065906,3.265458,3.1462493,3.60562,4.401478,3.2438478,1.7413821,0.7488222,1.0169427,3.3643832,3.2405,3.717883,4.5449476,3.341926,1.7805463,0.7488222,1.0169427,3.3643832,3.2405,3.717883,4.5449476,3.341926,1.7805463,0.7488412,1.0177804,3.3723888,3.2481275,3.7269678,4.5565577,3.3498626,1.7837155,0.7488412,1.0177804,3.3723888,3.2481275,3.7269678,4.5565577,3.3498626,1.7837155,0.74906856,1.0277735,3.467883,3.3391094,3.8353376,4.6950517,3.444539,1.8215216,0.74906856,1.0277735,3.467883,3.3391094,3.8353376,4.6950517,3.444539,1.8215216,0.74856764,1.0057528,3.2574525,3.1386218,3.5965347,4.389868,3.2359114,1.7382127,0.74856764,1.0057528,3.2574525,3.1386218,3.5965347,4.389868,3.2359114,1.7382127,0.7488072,1.0162845,3.3580928,3.234507,3.7107449,4.5358253,3.3356895,1.7780561,0.7488072,1.0162845,3.3580928,3.234507,3.7107449,4.5358253,3.3356895,1.7780561,0.7489692,1.0234053,3.4261398,3.2993388,3.7879667,4.6345124,3.4031534,1.8049957,0.7489692,1.0234053,3.4261398,3.2993388,3.7879667,4.6345124,3.4031534,1.8049957,0.74862343,1.0082062,3.2808976,3.1609588,3.6231408,4.423869,3.2591548,1.7474943,0.74862343,1.0082062,3.2808976,3.1609588,3.6231408,4.423869,3.2591548,1.7474943,0.7485595,1.0053937,3.2540216,3.135353,3.5926409,4.384892,3.2325096,1.7368544,0.7485595,1.0053937,3.2540216,3.135353,3.5926409,4.384892,3.2325096,1.7368544
Heating|Total,11.067324,11.067324,11.067324,10.99633,10.604077,10.806824,10.510698,10.895597,9.03192,9.237179,10.608293,9.810273,8.068198,6.8431077,8.08295,8.474377,7.7456975,8.27322,10.138476,8.77611,7.582573,8.18212,7.737122,7.96981,10.093583,10.278695,10.645386,9.858375,8.017743,6.776648,8.696955,8.948882,4.92913,5.436997,7.443413,5.4474974,4.5186677,4.851372,5.3963027,5.4092994,6.2298837,7.5495486,8.767052,6.2225857,5.6802096,4.1325893,4.7990537,5.2198353,8.606678,10.303323,10.307834,6.6638265,7.2207336,4.6417217,5.0360847,5.6510277,8.548584,10.02639,9.749699,7.5004597,5.304692,5.938208,7.4558177,9.280711,8.720713,9.385605,8.44423,3.7634628,1.9216332,1.5283766,3.6451151,5.9476943,4.197653,4.242101,6.0260453,2.4530468,1.504164,1.249988,0.79560375,2.3562489,0.7010066,0.832195,2.540741,1.701814,1.7026219,1.7885082,1.990341,1.0943425,0.62090755,0.7071028,2.8400645,1.7639768,1.6292207,2.4639983,1.213937,0.61234003,0.43299416,0.8692188,3.0722227,2.023894,1.3059897,1.3327992,1.393131,0.61943895,0.49136338,0.71244144,1.7050565,1.7684245,1.8565055,1.268363,0.950637,1.4210472,0.51888984,0.82527107,4.3469796,1.9339869,1.2247317,1.081585,1.240463,0.72525674,0.6489731,1.0074708,3.3749475,2.2940764,1.4271654,0.74962354,1.7069945,1.2824981,1.0870334,1.4560511,2.4512544,2.2762506,1.143159,1.6074344,1.429755,0.72005135,0.5182374,1.7760344,3.2486749,1.4480497,1.6976335,2.1164727,1.6167328,1.1900705,4.458691,4.848807,6.006764,3.844086,2.4743211,2.2992377,3.1050098,3.8351283,4.4058127,4.7055507,6.068841,3.0283163,2.7986183,3.1195552,2.467534,1.6252811,5.0586963,6.8108935,8.071125,5.916545,5.1218596,5.4913635,5.1758676,4.8449264,7.3748612,8.458452,9.646887,8.356727,8.242119,7.543548,7.0993133,7.364778,8.310309,9.357501,10.311734,9.056622,8.749862,8.477281,7.894954,8.548675,9.34061,10.309628,10.646406,10.28993,9.343518,9.587881,9.104053,9.891035
Heating|Biomass,3.8657906,3.8657906,3.8657906,3.794798,3.4190516,3.6052911,3.3640354,3.6972673,2.8295536,2.8920593,3.8657906,3.1843824,2.3189857,1.6183183,2.24672,2.5491061,2.289974,2.5047433,3.4665353,2.780816,2.0816038,2.3848119,2.2207124,2.3300462,3.3648586,3.5834491,3.8657906,2.9032352,1.7034947,1.688992,2.3778737,2.6175275,1.1684226,1.3362868,2.136005,1.1713132,0.86629397,1.0301126,1.2957897,1.2689878,1.6132258,2.1864514,2.7501845,1.2918648,0.6081014,0.46027592,1.0552182,1.1450089,2.8979197,3.6795871,3.5906212,1.7246152,2.0045757,1.2147843,1.512233,1.7068553,2.7969332,3.5015242,3.2630208,2.3318436,0.9322087,1.4617847,2.4003832,3.159481,2.9182425,3.2145696,2.747402,0.937779,0.23897311,0.025514774,1.0955021,2.045798,1.4255064,1.1570629,2.2068455,0.636399,0,0,0.17259152,0.6863925,0,0.007244279,0.4443442,0,0,0.37183756,0.6652732,0.21886316,0.023701377,0,0.5800707,0,0,0.77410394,0.3608805,0.06162072,0,0.14132068,0.9107574,0.10407177,0.34760273,0.39838338,0.44413447,0.07337361,0,0.094317295,0.26572978,0,0.042351548,0.12007137,0.24857995,0.3656403,0.035265025,0.16627963,1.5339043,0,0.03000097,0.28493816,0.3631984,0.06959284,0.048141386,0,1.0933802,0.11235759,0,0.116841584,0.57539725,0.34767824,0,0.015448269,0,0,0,0.38319486,0.3883668,0,0,0.5377174,1.0558854,0.36345628,0,0.40751138,0.20439681,0,1.1870171,1.3648094,1.9949135,0.74586916,0.116843216,0.15717493,0.6164915,0.91755986,1.173957,1.3024929,1.8833368,0.49986514,0.43022737,0.5739178,0.35415196,0,1.2482188,1.877943,2.3757846,0.8014337,1.3382745,1.489973,1.2169546,1.164069,2.160928,2.6591628,3.25662,2.6233265,2.6089587,2.2336066,2.0362368,2.1295254,2.5553584,3.0331495,3.5574274,2.8439271,2.642771,2.6218681,2.3250844,2.6143732,3.0003593,3.5599887,3.8657906,3.5373309,2.8923395,3.0502865,2.6283078,3.2065077
Heating|Gas,0.45801368,0.45801368,0.45801368,0.45801368,0.41576928,0.45801368,0.40314332,0.45481068,0.34151337,0.34905753,0.4198996,0.28234595,0.29419369,0.29100674,0.323187,0.36192557,0.27638873,0.30231038,0.34755152,0.26701838,0.2682422,0.31287217,0.32597563,0.36192557,0.4061221,0.37268844,0.42446437,0.36898488,0.3181598,0.22892623,0.28699782,0.42044404,0.14102294,0.16128333,0.25974727,0.15947832,0.108582094,0.13131335,0.15639552,0.17012534,0.19470853,0.26389408,0.23786485,0.30243137,0.18000925,0.092233464,0.12735972,0.13819702,0.34976485,0.4441083,0.43337053,0.22507292,0.29161614,0.1686381,0.18251918,0.20600915,0.33757624,0.422617,0.40764165,0.34060687,0.22350954,0.22024713,0.2897146,0.381334,0.35221767,0.38798293,0.33460128,0.14361994,0.07637471,0.036357712,0.1322218,0.2469179,0.17205168,0.19853821,0.2665383,0.110079326,0.030308995,0.046024993,0.021715704,0.08284424,0,8.74E-04,0.1230046,0.06145391,0.048581935,0.072872914,0.08029524,0.02641572,0.002860641,0.006709658,0.1491973,0.062645145,0.05241738,0.1061132,0.043556523,0.007437321,0,0.01705672,0.13312331,0.082856,0.04602498,0.04808294,0.053604875,0.008855838,0,0.011383639,0.074751146,0.06679494,0.0779868,0.04474654,0.030002393,0.04413101,0.004256317,0.020069145,0.20139377,0.08757534,0.044107296,0.034575157,0.04383628,0.008399518,0.005810432,0.038741004,0.15484011,0.099081606,0.028126393,0.021734009,0.06944765,0.041963078,0,0.005288151,0.11147643,0.056451134,0,0.049633075,0.03714703,0,0,0.06489988,0.15073837,0.053938583,0.052477118,0.06057739,0.024669701,0,0.1432672,0.16472587,0.24107186,0.11547835,0.084862374,0.04044974,0.07440753,0.11074502,0.14169091,0.16136298,0.23334458,0.070543714,0.0682906,0.086587235,0.04274442,0,0.15065394,0.22665861,0.22172703,0.26185897,0.17470154,0.18112193,0.14688051,0.14049749,0.26081353,0.32094803,0.31345662,0.26701838,0.312591,0.35538805,0.25019652,0.31871253,0.30841935,0.3660864,0.42961633,0.34369934,0.3393111,0.31644675,0.2806264,0.31554213,0.3621288,0.42703697,0.45801368,0.42726806,0.35422766,0.3681548,0.35446525,0.36192557
Heating|Geothermal,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.05230869,0.057474118,0.070214905,0.07278921,0.07278921,0.029115682,0.07278921,0.07278921,0.029115682,0.07278921,0.07278921,0.029115682,0.07278921,0.029115682,0.07278921,0.07278921,0.029115682,0.07278921,0.032797463,0.07278921,0.029115682,0.07278921,0.029115682,0.07278921,0.029115682,0.07278921,0.07278921,0.029115682,0.07278921,0.055045843,0.011372318,0.055045843,0.07278921,0.029115682,0.07278921,0.060218487,0.016544962,0.060218487,0.029115682,0.07278921,0.029115682,0.07278921,0.04358279,0.07278921,0.029115682,0.07278921,0.029115682,0.07278921,0.07278921,0.07278921,0.064693764,0.021020243,0.064693764,0.0584069,0.014733376,0.0584069,0.07278921,0.07278921,0.04797067,0.07278921,0.029115682,0.07278921,0.029115682,0.07278921,0.07278921,0.07278921,0.056709766,0.013036243,0.029115682,0.07278921,0.029115682,0.07278921,0.07278921,0.06438422,0.07278921,0.04733959,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.06123954,0.07278921,0.07278921,0.07278921,0.036243573,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921,0.07278921
Heating|Liquid petroleum products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heating|Heat pumps|Total,4.2091684,4.2091684,4.2091684,4.2091684,4.2091684,4.2091684,4.2091684,4.2091684,3.7474189,3.8826284,4.2091684,4.2091684,3.2230763,2.5389855,3.3996084,3.4499109,3.0659003,3.3527327,4.2091684,3.6148415,2.9784188,3.3006263,3.0769992,3.164404,4.2091684,4.2091684,4.2091684,4.2091684,3.1767037,2.5996292,3.9293635,3.8422263,1.5603337,1.8259927,2.8120713,1.8639042,1.4309465,1.5788999,1.897301,1.9015012,2.3085148,2.9857688,3.665568,2.3337915,1.9292629,1.2017221,1.5696597,1.823195,3.4633791,4.0933123,4.1704082,2.6999655,2.6498375,1.5321257,1.7262249,2.0202026,3.3547232,4.0007467,3.9085522,3.2738528,2.0772934,2.1359155,2.8134642,3.6896815,3.3909016,3.7000203,3.2524028,1.3839893,0.8085209,0.56859374,1.5098419,2.4846783,1.6992874,1.9214084,2.4455256,1.0269756,0.25484055,0.37675086,0.19734922,0.8943711,0.22418267,0.27764493,1.1116977,0.51887876,0.39768144,0.5965223,0.6656285,0.32984316,0.1580107,0.2044379,1.2433898,0.5127999,0.42907757,0.8686202,0.35654446,0.102086514,0.072720364,0.22579825,1.1416004,0.70438004,0.37675074,0.39637256,0.43879816,0.11175121,0.08741606,0.17809813,0.6258695,0.5510862,0.63838345,0.3662857,0.24713741,0.4613711,0.08431635,0.23497498,1.6650991,0.71687317,0.361053,0.2830249,0.3726796,0.17184806,0.13385035,0.42583215,1.2910459,0.8110611,0.2302367,0.17790999,0.56848377,0.38988572,0.4494315,0.65191245,1.3419182,0.80368924,0.23612681,0.5024211,0.48931736,0.20797834,0.050043095,0.5971271,1.2993921,0.47226506,0.4727713,0.57820195,0.2808531,0.0940697,1.7170607,1.9163306,2.551073,1.385934,0.9746479,0.62685585,1.0027645,1.395477,1.6788188,1.8418982,2.4626026,0.96482867,0.8243111,0.940763,0.6916881,0.3739175,1.8971355,2.604789,3.2661612,2.0853343,1.8633847,1.9492464,1.7652164,1.8227155,2.8396854,3.364907,3.9633765,3.30963,3.2071352,2.8411193,2.6994457,2.8031054,3.333098,3.8448315,4.2091684,3.7518234,3.4858093,3.4255314,3.1758094,3.5053248,3.8646877,4.2091684,4.2091684,4.2091684,3.9409618,4.056006,4.007845,4.2091684
Heating|Heat pumps|Air source,2.5491874,2.5491874,2.5491874,2.5491874,2.5491874,2.5491874,2.5491874,2.5491874,2.3496408,2.453973,2.5491874,2.5491874,2.0189726,1.6005576,2.2897456,1.9898124,1.9346706,2.1154082,2.5491874,2.1818683,1.8805318,2.0877824,1.9799842,2.0133786,2.5491874,2.5491874,2.5491874,2.5491874,1.9696927,1.6626583,2.4426837,2.5491874,0.9831418,1.1658771,1.686462,1.2111764,0.98653144,1.0414482,1.2571907,1.2746309,1.5115935,1.9056783,2.3069978,1.523766,1.1925042,0.8242203,1.0483899,1.2575692,2.0318286,2.4333313,2.5104275,1.4771366,1.4562833,0.8419078,0.9791933,1.1770291,1.9730594,2.340766,2.2485714,1.7928973,1.1624924,1.2344674,1.6276929,2.1289217,1.9493119,2.1120472,1.8829151,0.796168,0.49592733,0.41978544,0.9686721,1.4740696,0.9950981,1.1088126,1.3546127,0.5764325,0.13078906,0.18837543,0.108469136,0.5552984,0.22418267,0.2740663,0.60825294,0.2673544,0.19884072,0.29826114,0.33698857,0.2217264,0.1463024,0.17697598,0.63274115,0.25639996,0.21453878,0.4343101,0.17827223,0.07164635,0.072720364,0.1559869,0.5967408,0.36525923,0.18837537,0.19957419,0.21939908,0.075505204,0.08741606,0.1315061,0.31992096,0.2777016,0.31919172,0.18314286,0.12434079,0.28074753,0.06689569,0.15283409,0.8408158,0.35843658,0.1805265,0.14151245,0.19326232,0.13746972,0.110068865,0.26726934,0.6573018,0.40553054,0.11511835,0.08895499,0.28424188,0.21813527,0.4494315,0.63026863,0.92546844,0.5726407,0.23612681,0.29927814,0.29746708,0.20797834,0.050043095,0.33149877,0.6824359,0.25150016,0.257988,0.3302651,0.1798826,0.0940697,1.1306832,1.242125,1.5643914,0.91329336,0.62731516,0.46129936,0.69822234,0.9422094,1.0988929,1.1814566,1.4905279,0.67610073,0.5448049,0.6033906,0.5167397,0.3739175,1.2805248,1.6770993,2.0460975,1.3608606,1.1483498,1.2079335,1.16405,1.2476741,1.7722032,2.0513008,2.3546307,1.9923277,1.9183294,1.7377344,1.6935602,1.7511361,2.07077,2.3464787,2.5491874,2.2357728,2.097045,2.1303484,2.0272353,2.2138443,2.3825328,2.5491874,2.5491874,2.5491874,2.2809808,2.5491874,2.5111692,2.5491874
Heating|Heat pumps|Ground source,1.6599809,1.6599809,1.6599809,1.6599809,1.6599809,1.6599809,1.6599809,1.6599809,1.3977782,1.4286555,1.6599809,1.6599809,1.2041037,0.9384279,1.1098628,1.4600985,1.1312299,1.2373244,1.6599809,1.4329733,1.097887,1.212844,1.0970151,1.1510253,1.6599809,1.6599809,1.6599809,1.6599809,1.207011,0.93697083,1.4866798,1.2930388,0.57719195,0.6601156,1.1256092,0.6527279,0.44441503,0.5374516,0.6401103,0.62687033,0.7969214,1.0800905,1.3585703,0.8100254,0.73675877,0.37750182,0.52126986,0.5656258,1.4315505,1.6599809,1.6599809,1.2228287,1.193554,0.6902179,0.7470317,0.8431736,1.3816638,1.6599809,1.6599809,1.4809555,0.9148009,0.9014482,1.1857711,1.5607598,1.4415897,1.5879731,1.3694876,0.58782125,0.3125936,0.14880827,0.5411698,1.0106088,0.70418936,0.8125959,1.090913,0.45054305,0.12405151,0.18837543,0.08888008,0.3390727,0,0.003578619,0.5034448,0.25152436,0.19884072,0.29826114,0.32863992,0.10811675,0.011708302,0.027461918,0.6106487,0.25639996,0.21453878,0.4343101,0.17827223,0.03044017,0,0.06981135,0.54485965,0.33912084,0.18837537,0.19679838,0.21939908,0.03624601,0,0.04659203,0.30594853,0.27338463,0.31919172,0.18314286,0.122796625,0.18062356,0.017420657,0.082140885,0.82428336,0.35843658,0.1805265,0.14151245,0.17941727,0.03437834,0.023781482,0.15856282,0.6337442,0.40553054,0.11511835,0.08895499,0.28424188,0.17175044,0,0.021643842,0.41644984,0.23104852,0,0.20314293,0.19185026,0,0,0.26562834,0.6169562,0.22076492,0.2147833,0.24793684,0.10097048,0,0.5863775,0.67420554,0.98668164,0.47264066,0.34733272,0.1655565,0.30454215,0.45326763,0.5799259,0.6604416,0.9720746,0.28872794,0.2795062,0.33737245,0.1749484,0,0.61661065,0.92768973,1.2200637,0.72447383,0.71503496,0.7413129,0.60116637,0.57504135,1.0674821,1.3136063,1.6087457,1.3173022,1.2888058,1.1033849,1.0058856,1.0519694,1.2623278,1.4983529,1.6599809,1.5160507,1.3887645,1.2951831,1.1485741,1.2914807,1.4821548,1.6599809,1.6599809,1.6599809,1.6599809,1.5068185,1.496676,1.6599809
